dataset,palim,num_features,num_inodes,num_examples,bkb_data_score,bn_data_score,score_diff,bkb_ncalls,bn_ncalls,ncalls_diff
newthyroid-standard_classification-no_missing_values,5,6,21,215,-72.86187258479887,-461.78416123199753,388.9222886471987,1257,7200,-5943
car-standard_classification-no_missing_values,6,7,25,1728,-993.5940424069122,-5975.938403594473,4982.344361187561,20369,40000,-19631
banana-standard_classification-no_missing_values,2,3,14,5300,-2047.2387875883833,-5929.321826368177,3882.083038779794,103,135,-32
poker-standard_classification-no_missing_values,1,11,45,1025009,-976562.6471681172,-5263517.009885668,4286954.36271755,945,946,-1
heart-standard_classification-no_missing_values,10,14,35,270,-249.1794557563976,-1572.0157375059143,1322.8362817495167,1666695,26262720,-24596025
saheart-standard_classification-no_missing_values,9,10,22,462,-352.5832901294091,-1866.153113889942,1513.569823760533,48005,104976,-56971
wine-standard_classification-no_missing_values,8,14,40,178,-134.45783656761412,-1103.1564205931822,968.6985840255682,1018988,39249360,-38230372
mammographic-standard_classification-no_missing_values,5,6,21,830,-300.2722388428201,-2126.4531221780135,1826.1808833351934,2735,6750,-4015
pima-standard_classification-no_missing_values,8,9,21,768,-627.9224428529895,-3059.161964740477,2431.239521887487,28309,43740,-15431
housevotes-standard_classification-no_missing_values,7,17,34,232,-494.07819351660777,-1865.8016991548207,1371.7235056382128,3209612,9746883,-6537271
tic-tac-toe-standard_classification-no_missing_values,9,10,29,958,-1006.6726579214277,-4888.292968059681,3881.620310138253,250986,786432,-535446
winequality-red-standard_classification-no_missing_values,10,12,33,1599,-1086.757867664212,-7422.744817944489,6335.986950280278,663679,4815936,-4152257
ecoli-standard_classification-no_missing_values,7,8,29,336,-198.90083897254914,-875.1686221388594,676.2677831663102,9044,108864,-99820
contraceptive-standard_classification-no_missing_values,9,10,31,1473,-1060.3631077233413,-6083.301212369039,5022.938104645697,194374,1080000,-885626
yeast-standard_classification-no_missing_values,8,9,32,1484,-390.8201368499569,-4624.215982165664,4233.395845315707,47816,380160,-332344
nursery-standard_classification-no_missing_values,8,9,32,12960,-7222.9310089245655,-59544.318784500974,52321.38777557641,307592,691200,-383608
titanic-standard_classification-no_missing_values,3,4,9,2201,-956.932015574219,-2586.3597354831386,1629.4277199089197,102,108,-6
hayes-roth-standard_classification-no_missing_values,4,5,18,160,-87.10325326748692,-402.9860056589223,315.88275239143536,928,2000,-1072
iris-standard_classification-no_missing_values,4,5,15,150,-69.11336937298827,-393.9083625382738,324.7949931652855,322,1024,-702
bupa-standard_classification-no_missing_values,6,7,14,345,-333.9751847083098,-759.6943880303044,425.71920332199454,1248,2187,-939
haberman-standard_classification-no_missing_values,3,4,8,306,-103.91601403316342,-383.8843032115026,279.96828917833915,80,81,-1
winequality-white-standard_classification-no_missing_values,4,12,45,4898,-2294.0836746292616,-24162.28852896627,21868.204854337007,268095,624312,-356217
glass-standard_classification-no_missing_values,9,10,30,214,-155.06854540982644,-841.2943558915263,686.2258104816998,42539,680400,-637861
flare-standard_classification-no_missing_values,6,12,47,1066,-393.7529483671466,-3406.613805601655,3012.8608572345083,275011,9933408,-9658397
phoneme-standard_classification-no_missing_values,5,6,34,5404,-1264.5964088229437,-13925.079953584782,12660.483544761839,12389,55440,-43051
bands-standard_classification-no_missing_values,5,20,40,365,-290.3547216818017,-1574.9311034680557,1284.576381786254,1038847,3064209,-2025362
australian-standard_classification-no_missing_values,6,15,40,690,-507.0171946856583,-3793.353317995753,3286.336123310095,1304495,6118368,-4813873
tae-standard_classification-no_missing_values,5,6,13,151,-65.30075116976971,-263.32883809352796,198.02808692375825,540,972,-432
post-operative-standard_classification-no_missing_values,8,9,26,87,-61.05402671151159,-318.78787805054975,257.73385133903815,16202,184320,-168118
vowel-standard_classification-no_missing_values,5,14,60,990,-386.8801868014089,-4744.808523660113,4357.928336858704,958224,13288429,-12330205
balance-standard_classification-no_missing_values,4,5,11,625,-505.261878763604,-1502.8344993717524,997.5726206081483,312,324,-12
zoo-standard_classification-no_missing_values,7,17,43,101,-58.524160468349,-650.3139094418704,591.7897489735213,1646540,37950312,-36303772
hepatitis-standard_classification-no_missing_values,6,20,40,80,-81.52361447695597,-529.2214342760154,447.69781979905946,3634610,12986769,-9352159
crx-standard_classification-no_missing_values,5,16,54,653,-242.19621149201083,-3788.2471156956994,3546.050904203689,1252575,7047840,-5795265
cleveland-standard_classification-no_missing_values,10,14,31,297,-333.3717410110283,-1760.9319725189632,1427.560231507935,1536035,8398578,-6862543
lymphography-standard_classification-no_missing_values,5,19,63,148,-108.60340420396807,-1082.8559228818444,974.2525186778764,2586093,33062432,-30476339
breast-standard_classification-no_missing_values,9,10,43,277,-121.73421522315827,-1154.061466147968,1032.3272509248097,116161,5225472,-5109311
led7digit-standard_classification-no_missing_values,7,8,24,500,-122.31027911015151,-1598.8034391101678,1476.4931600000164,10204,24057,-13853
kr-vs-k-standard_classification-no_missing_values,3,7,58,28056,-7629.3267096725285,-78925.80559613761,71296.47888646508,80933,146875,-65942
monk-2-standard_classification-no_missing_values,6,7,19,432,-229.38129757966075,-1547.9280194658431,1318.5467218861825,6696,8640,-1944
